model,total_balloons,avg_pumps,adjusted_pumps,burst_rate,avg_earnings,total_earnings
01-ai/yi-large,50,5.5,5.85,0.34,0.39,19.3
anthropic/claude-3.5-haiku,50,4.22,4.57,0.26,0.34,16.9
anthropic/claude-3.5-sonnet,50,6.48,7.6,0.4,0.46,22.8
anthropic/claude-3.7-sonnet,50,7.9,10.09,0.56,0.44,22.2
anthropic/claude-3.7-sonnet:thinking,50,2.6,1.36,0.22,0.11,5.3
cohere/command-r-08-2024,50,8.64,7.92,0.76,0.19,9.5
deepseek/deepseek-chat,50,6.54,6.44,0.46,0.35,17.4
deepseek/deepseek-chat-v3-0324,50,5.46,6.18,0.32,0.42,21.0
google/gemini-2.0-flash-001,50,7.16,8.71,0.44,0.49,24.4
google/gemini-2.0-flash-lite-001,50,4.9,5.42,0.28,0.39,19.5
google/gemini-2.5-pro-preview-03-25,50,1.16,0.67,0.1,0.06,3.0
meta-llama/llama-3.1-405b-instruct,50,4.76,5.21,0.22,0.41,20.3
meta-llama/llama-3.3-70b-instruct,50,8.32,11.1,0.58,0.47,23.3
meta-llama/llama-4-maverick,50,5.78,6.64,0.34,0.44,21.9
meta-llama/llama-4-scout,50,8.4,10.2,0.6,0.41,20.4
mistralai/mistral-large-2411,50,2.74,2.83,0.18,0.23,11.6
openai/gpt-4.5-preview,50,5.22,5.83,0.3,0.41,20.4
openai/gpt-4o-2024-11-20,50,10.06,15.33,0.94,0.09,4.6
openai/gpt-4o-mini,50,3.6,3.85,0.22,0.3,15.0
openai/o1,50,0.48,0.23,0.04,0.02,1.1
openai/o1-mini,50,5.64,5.28,0.36,0.34,16.9
openai/o3-mini,50,7.68,8.45,0.56,0.37,18.6
openai/o3-mini-high,50,3.04,2.18,0.22,0.17,8.5
openrouter/quasar-alpha,50,9.28,10.44,0.82,0.19,9.4
qwen/qwen-max,50,5.6,5.97,0.34,0.39,19.7
qwen/qwen-plus,50,4.06,4.32,0.24,0.33,16.4
ALL,1300,5.59,5.15,0.39,0.31,409.4
