model,balloon_id,threshold_pumps,pumps_attempted,burst,earnings,choices,full_responses
openai/gpt-4o-mini,1,16,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Cash Out
openai/gpt-4o-mini,2,13,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Cash Out
openai/gpt-4o-mini,3,9,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
openai/gpt-4o-mini,4,5,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Cash Out
openai/gpt-4o-mini,5,14,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
google/gemini-2.0-flash-001,1,16,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
google/gemini-2.0-flash-001,2,13,8,False,0.8,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
google/gemini-2.0-flash-001,3,9,9,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
google/gemini-2.0-flash-001,4,5,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Cash Out
google/gemini-2.0-flash-001,5,14,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Cash Out
openai/gpt-4o-2024-11-20,1,16,16,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
openai/gpt-4o-2024-11-20,2,13,13,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
openai/gpt-4o-2024-11-20,3,9,9,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
openai/gpt-4o-2024-11-20,4,5,5,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump
openai/gpt-4o-2024-11-20,5,14,14,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
