model,balloon_id,threshold_pumps,pumps_attempted,burst,earnings,choices
google/gemini-2.0-flash-001,1,11,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.0-flash-001,2,14,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.0-flash-001,3,11,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.0-flash-001,4,15,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.0-flash-001,5,11,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
openai/gpt-4o-mini,1,12,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
openai/gpt-4o-mini,2,20,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT"
openai/gpt-4o-mini,3,7,2,False,0.2,"PUMP, PUMP, CASH OUT"
openai/gpt-4o-mini,4,3,2,False,0.2,"PUMP, PUMP, CASH OUT"
openai/gpt-4o-mini,5,3,3,True,0.0,"PUMP, PUMP, PUMP"
deepseek/deepseek-chat,1,10,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT"
deepseek/deepseek-chat,2,15,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT"
deepseek/deepseek-chat,3,16,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
deepseek/deepseek-chat,4,20,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
deepseek/deepseek-chat,5,9,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
openai/gpt-4o-2024-11-20,1,16,16,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
openai/gpt-4o-2024-11-20,2,16,16,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
openai/gpt-4o-2024-11-20,3,3,3,True,0.0,"PUMP, PUMP, PUMP"
openai/gpt-4o-2024-11-20,4,1,1,True,0.0,PUMP
openai/gpt-4o-2024-11-20,5,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
anthropic/claude-3.7-sonnet,1,2,2,True,0.0,"PUMP, PUMP"
anthropic/claude-3.7-sonnet,2,18,11,False,1.1,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
anthropic/claude-3.7-sonnet,3,14,10,False,1.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
anthropic/claude-3.7-sonnet,4,19,12,False,1.2,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
anthropic/claude-3.7-sonnet,5,9,9,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
google/gemini-2.5-pro-exp-03-25:free,1,15,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.5-pro-exp-03-25:free,2,4,1,False,0.1,"PUMP, CASH OUT"
google/gemini-2.5-pro-exp-03-25:free,3,8,0,False,0.0,CASH OUT
google/gemini-2.5-pro-exp-03-25:free,4,20,0,False,0.0,CASH OUT
google/gemini-2.5-pro-exp-03-25:free,5,9,2,False,0.2,"PUMP, PUMP, CASH OUT"
