model,balloon_id,threshold_pumps,pumps_attempted,burst,earnings,choices,full_responses
openai/gpt-4o-mini,1,10,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Cash Out
openai/gpt-4o-mini,2,4,4,True,0.0,"PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump
openai/gpt-4o-mini,3,15,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
openai/gpt-4o-mini,4,15,9,False,0.9,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
openai/gpt-4o-mini,5,15,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Cash Out
google/gemini-2.0-flash-001,1,10,6,False,0.6,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
google/gemini-2.0-flash-001,2,4,4,True,0.0,"PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump
google/gemini-2.0-flash-001,3,15,10,False,1.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
google/gemini-2.0-flash-001,4,15,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Cash Out
google/gemini-2.0-flash-001,5,15,9,False,0.9,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
google/gemini-2.5-pro-exp-03-25:free,1,10,0,False,0.0,,ERROR: No valid LLM response after 3 attempts
google/gemini-2.5-pro-exp-03-25:free,2,4,0,False,0.0,,ERROR: No valid LLM response after 3 attempts
google/gemini-2.5-pro-exp-03-25:free,3,15,0,False,0.0,,ERROR: No valid LLM response after 3 attempts
google/gemini-2.5-pro-exp-03-25:free,4,15,0,False,0.0,,ERROR: No valid LLM response after 3 attempts
