model,balloon_id,threshold_pumps,pumps_attempted,burst,earnings,choices,full_responses
google/gemini-2.0-flash-001,1,18,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Cash Out
google/gemini-2.0-flash-001,2,20,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
google/gemini-2.0-flash-001,3,19,2,False,0.2,"PUMP, PUMP, CASH OUT",Pump | Pump | Cash Out
google/gemini-2.0-flash-001,4,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
google/gemini-2.0-flash-001,5,18,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Cash Out
openai/gpt-4o-mini,1,18,6,False,0.6,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
openai/gpt-4o-mini,2,20,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Cash Out
openai/gpt-4o-mini,3,19,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Cash Out
openai/gpt-4o-mini,4,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
openai/gpt-4o-mini,5,18,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
deepseek/deepseek-chat,1,18,9,False,0.9,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
deepseek/deepseek-chat,2,20,9,False,0.9,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
deepseek/deepseek-chat,3,19,14,False,1.4,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",'Pump' | 'Pump' | 'Pump' | 'Pump' | 'Pump' | 'Pump' | 'Pump' | 'Pump' | 'Pump' | 'Pump' | 'Pump' | 'Pump' | 'Pump' | 'Pump' | 'Cash Out'
deepseek/deepseek-chat,4,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
deepseek/deepseek-chat,5,18,7,False,0.7,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
anthropic/claude-3.7-sonnet,1,18,6,False,0.6,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
anthropic/claude-3.7-sonnet,2,20,8,False,0.8,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
anthropic/claude-3.7-sonnet,3,19,12,False,1.2,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
anthropic/claude-3.7-sonnet,4,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
anthropic/claude-3.7-sonnet,5,18,12,False,1.2,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
openai/gpt-4o-2024-11-20,1,18,18,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
openai/gpt-4o-2024-11-20,2,20,20,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
openai/gpt-4o-2024-11-20,3,19,19,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
openai/gpt-4o-2024-11-20,4,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
openai/gpt-4o-2024-11-20,5,18,18,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
