model,balloon_id,threshold_pumps,pumps_attempted,burst,earnings,choices
google/gemini-2.0-flash-001,1,3,3,True,0.0,"PUMP, PUMP, PUMP"
google/gemini-2.0-flash-001,2,10,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.0-flash-001,3,14,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.0-flash-001,4,12,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.0-flash-001,5,10,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
deepseek/deepseek-chat,1,11,2,False,0.2,"PUMP, PUMP, CASH OUT"
deepseek/deepseek-chat,2,3,3,True,0.0,"PUMP, PUMP, PUMP"
deepseek/deepseek-chat,3,13,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
deepseek/deepseek-chat,4,19,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
deepseek/deepseek-chat,5,6,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
openai/gpt-4o-mini,1,12,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
openai/gpt-4o-mini,2,19,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT"
openai/gpt-4o-mini,3,3,3,True,0.0,"PUMP, PUMP, PUMP"
openai/gpt-4o-mini,4,4,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
openai/gpt-4o-mini,5,7,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
openai/gpt-4o-2024-11-20,1,10,10,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
openai/gpt-4o-2024-11-20,2,10,10,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
openai/gpt-4o-2024-11-20,3,10,10,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
openai/gpt-4o-2024-11-20,4,17,17,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
openai/gpt-4o-2024-11-20,5,8,8,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
anthropic/claude-3.7-sonnet,1,12,12,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
anthropic/claude-3.7-sonnet,2,7,7,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
anthropic/claude-3.7-sonnet,3,8,8,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
anthropic/claude-3.7-sonnet,4,17,8,False,0.8,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
anthropic/claude-3.7-sonnet,5,1,1,True,0.0,PUMP
google/gemini-2.5-pro-exp-03-25:free,1,1,1,True,0.0,PUMP
google/gemini-2.5-pro-exp-03-25:free,2,16,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.5-pro-exp-03-25:free,3,2,2,True,0.0,"PUMP, PUMP"
google/gemini-2.5-pro-exp-03-25:free,4,16,2,False,0.2,"PUMP, PUMP, CASH OUT"
google/gemini-2.5-pro-exp-03-25:free,5,12,0,False,0.0,CASH OUT
