model,balloon_id,threshold_pumps,pumps_attempted,burst,earnings,choices
openai/gpt-4o-mini,1,10,2,False,0.2,"PUMP, PUMP, CASH OUT"
openai/gpt-4o-mini,2,9,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
openai/gpt-4o-mini,3,18,2,False,0.2,"PUMP, PUMP, CASH OUT"
openai/gpt-4o-mini,4,15,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
openai/gpt-4o-mini,5,17,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.0-flash-001,1,10,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.0-flash-001,2,9,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.0-flash-001,3,18,9,False,0.9,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.0-flash-001,4,15,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.0-flash-001,5,17,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
openai/gpt-4o-2024-11-20,1,10,10,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
openai/gpt-4o-2024-11-20,2,9,9,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
openai/gpt-4o-2024-11-20,3,18,18,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
openai/gpt-4o-2024-11-20,4,15,15,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
openai/gpt-4o-2024-11-20,5,17,17,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
deepseek/deepseek-chat,1,10,10,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
deepseek/deepseek-chat,2,9,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
deepseek/deepseek-chat,3,18,9,False,0.9,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
deepseek/deepseek-chat,4,15,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
deepseek/deepseek-chat,5,17,17,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
anthropic/claude-3.7-sonnet,1,10,10,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
anthropic/claude-3.7-sonnet,2,9,9,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
anthropic/claude-3.7-sonnet,3,18,11,False,1.1,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
anthropic/claude-3.7-sonnet,4,15,8,False,0.8,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
anthropic/claude-3.7-sonnet,5,17,10,False,1.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.5-pro-exp-03-25:free,1,10,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.5-pro-exp-03-25:free,2,9,0,False,0.0,CASH OUT
google/gemini-2.5-pro-exp-03-25:free,3,18,9,False,0.9,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.5-pro-exp-03-25:free,4,15,10,False,1.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.5-pro-exp-03-25:free,5,17,0,False,0.0,CASH OUT
